codigo_ibge,municipio,sigla_uf,municipio_fonte,in_source,flood_planning_master_plan_status,flood_planning_land_use_law_status,flood_planning_specific_law_status,landslide_planning_master_plan_status,landslide_planning_land_use_law_status,landslide_planning_specific_law_status,any_risk_prevention_planning_instrument_status,flood_risk_mapping_status,flood_contingency_plan_status,flood_early_warning_status,landslide_risk_mapping_status,landslide_contingency_plan_status,landslide_early_warning_status,municipal_civil_defense_body_status,civil_defense_budget_provision_status,civil_defense_early_warning_status,source_year,source,source_url
3304557,Rio de Janeiro,RJ,Rio de Janeiro,true,declared_yes,declared_no,declared_no,declared_yes,declared_yes,declared_no,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,2020,"IBGE, Pesquisa de Informacoes Basicas Municipais - MUNIC 2020",https://ftp.ibge.gov.br/Perfil_Municipios/2020/Base_de_Dados/Base_MUNIC_2020.xlsx
3550308,São Paulo,SP,São Paulo,true,declared_yes,declared_yes,declared_no,declared_yes,declared_yes,declared_no,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,declared_no,declared_yes,declared_yes,declared_no,2020,"IBGE, Pesquisa de Informacoes Basicas Municipais - MUNIC 2020",https://ftp.ibge.gov.br/Perfil_Municipios/2020/Base_de_Dados/Base_MUNIC_2020.xlsx
4106902,Curitiba,PR,Curitiba,true,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,2020,"IBGE, Pesquisa de Informacoes Basicas Municipais - MUNIC 2020",https://ftp.ibge.gov.br/Perfil_Municipios/2020/Base_de_Dados/Base_MUNIC_2020.xlsx
4202404,Blumenau,SC,Blumenau,true,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,2020,"IBGE, Pesquisa de Informacoes Basicas Municipais - MUNIC 2020",https://ftp.ibge.gov.br/Perfil_Municipios/2020/Base_de_Dados/Base_MUNIC_2020.xlsx
4205407,Florianópolis,SC,Florianópolis,true,declared_yes,declared_yes,declared_no,declared_yes,declared_yes,declared_no,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,2020,"IBGE, Pesquisa de Informacoes Basicas Municipais - MUNIC 2020",https://ftp.ibge.gov.br/Perfil_Municipios/2020/Base_de_Dados/Base_MUNIC_2020.xlsx
4314902,Porto Alegre,RS,Porto Alegre,true,declared_no,declared_no,declared_no,declared_no,declared_no,declared_no,declared_no,declared_yes,declared_yes,declared_yes,declared_yes,declared_no,declared_yes,declared_yes,declared_yes,declared_no,2020,"IBGE, Pesquisa de Informacoes Basicas Municipais - MUNIC 2020",https://ftp.ibge.gov.br/Perfil_Municipios/2020/Base_de_Dados/Base_MUNIC_2020.xlsx
5002704,Campo Grande,MS,Campo Grande,true,declared_yes,declared_yes,declared_no,declared_no,declared_no,declared_no,declared_yes,declared_yes,declared_no,declared_no,declared_no,declared_no,declared_no,declared_yes,declared_no,declared_no,2020,"IBGE, Pesquisa de Informacoes Basicas Municipais - MUNIC 2020",https://ftp.ibge.gov.br/Perfil_Municipios/2020/Base_de_Dados/Base_MUNIC_2020.xlsx
5103403,Cuiabá,MT,Cuiabá,true,declared_yes,declared_yes,declared_no,declared_no,declared_yes,declared_no,declared_yes,declared_yes,declared_no,declared_no,declared_yes,declared_no,declared_no,declared_yes,declared_yes,declared_no,2020,"IBGE, Pesquisa de Informacoes Basicas Municipais - MUNIC 2020",https://ftp.ibge.gov.br/Perfil_Municipios/2020/Base_de_Dados/Base_MUNIC_2020.xlsx
5208707,Goiânia,GO,Goiânia,true,declared_yes,declared_yes,declared_yes,declared_no,declared_no,declared_no,declared_yes,declared_yes,declared_no,declared_no,declared_yes,declared_no,declared_no,declared_yes,declared_no,declared_no,2020,"IBGE, Pesquisa de Informacoes Basicas Municipais - MUNIC 2020",https://ftp.ibge.gov.br/Perfil_Municipios/2020/Base_de_Dados/Base_MUNIC_2020.xlsx
5300108,Brasília,DF,Brasília,true,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,declared_no,declared_yes,2020,"IBGE, Pesquisa de Informacoes Basicas Municipais - MUNIC 2020",https://ftp.ibge.gov.br/Perfil_Municipios/2020/Base_de_Dados/Base_MUNIC_2020.xlsx
