codigo_ibge,municipio,uf,convenios,primeiro_ano,ultimo_ano,acoes_json,numero_mais_recente,ano_mais_recente,situacao_mais_recente,objeto_mais_recente,valor_global_mais_recente,criterio_atribuicao
2704302,Maceió,AL,1,2023,2023,"[""00T5""]",946437,2023,Em execução,Elaboração de Projetos e Obras de Contenção e Estabilização de Encostas no Município em diversos bairros de Maceió-AL,53294891.92,objeto menciona o município
2903953,Bom Jesus da Serra,BA,1,2009,2009,"[""prevenção/preparação""]",723958,2009,Prestação de Contas Aprovada,"Construção de cisternas de placa nas localidades Água Bela, Fazenda Três Barras, Fazenda Araras I e II, na zona rural do município de Bom Jesus da Serra.",499950.0,objeto menciona o município
2927408,Salvador,BA,5,2008,2023,"[""8865"",""prevenção/preparação""]",955255,2023,Em execução,CONTENÇÃO DE ENCOSTA NO MUNICÍPIO DE SALVADOR,18752655.11,objeto menciona o município
3106200,Belo Horizonte,MG,1,2011,2011,"[""prevenção/preparação""]",755386,2011,Prestação de Contas Aprovada,Construção de uma bacia de detenção no córrego São Francisco no município de Belo Horizonte,11563142.92,objeto menciona o município
2611606,Recife,PE,2,2010,2011,"[""prevenção/preparação""]",755480,2011,Prestação de Contas Aprovada,"Objeto 1 - Levantamento aerofotogramétrico com perfilamento a laser aero transportado de 220 Km2 do município do Recife.Objeto 2 - Restituição esterofotogramétrica das áreas de risco, com obtenção de edificações através dos dados do perfilamento a laser de 122 Km2 do município do Recife.Objeto 3 - Proteção de 44.317 M2 de encostas com aplicação de gel impermeabilizante (polímero acrílico) em diversas localidades do município do Recife.",5104167.0,objeto menciona o município
4106902,Curitiba,PR,1,2011,2011,"[""prevenção/preparação""]",755430,2011,Prestação de Contas enviada para Análise,"Execução de desassoreamento, istmo, recuperação de margens e instalação de comportas mecânicas para ampliação do volume de acumulação dos lagos: Barigui, Tingui e São Lourenço, existentes ao longo dos Rios Bariguí e Belém, no Município de Curitiba/PR.Os lagos estão situados:- No Parque Barigui, na rua Cândido Hartmann;- No Parque São Lourenço, na rua Mateus Leme;- No Parque Tingui, na rua Dr Mba de Ferrante;Todos no Município de Curitiba.",9875000.0,objeto menciona o município
4202404,Blumenau,SC,2,2010,2024,"[""00T5"",""prevenção/preparação""]",959786,2024,Em execução,"Execução de obras de contenção de encostas nas margens do Rio Itajaí-Açu e Ribeirão Garcia, no município de Blumenau/SC.",1499695.06,objeto menciona o município
2800308,Aracaju,SE,6,2010,2010,"[""prevenção/preparação""]",747903,2010,Prestação de Contas Aprovada,"CONSTRUÇÃO DE MURO DE ARRIMO, COM 180 METROS DE EXTENSÃO NA RUA 7 - BAIRRO SOLEDADE - ARACAJU -SE.",535597.7,objeto menciona o município
3550308,São Paulo,SP,1,2021,2021,"[""8865""]",919345,2021,Convênio Anulado,Obras de Contenção de Encostas em Áreas Urbanas do Município de São Paulo.,1173505.03,objeto menciona o município
